English,Ao,label
"So once again that night they got their father drunk with wine and the younger daughter went and slept with him, and he didn't notice when she lay down or when she got up.","paonungjia parnoki tebu nem yi jemdaktsü aser jala tanutsülai yia tebu den medem; saka tebui aji memetet, kechiaser pa yi agi meseper liasü.",NOT
"“Anyway, she really is my sister, the daughter of my father but not my mother, and I married her.","la atangji künu, kütsür chir masü, saka kübur chir, kübutsü asütsü ni la agi.",NOT
"Abimelech also told Sarah, “Notice that I'm giving your brother a thousand pieces of silver. This is to compensate you for the wrong done to you in the eyes of everyone with you, and to make sure that your name is publicly cleared.”","aser sarah dang pai ashi, “ajiang ni nedi nem taribi sen meyirijang ka agütsüogo, iba yagi ne den aliba ajak madang na temerük aser metendaktsüogo ta kuli asütsü.”",NOT
"But Sarah noticed that Ishmael, Hagar the Egyptian's son she'd had for Abraham, was making fun of Isaac.","saka kodang sarai pei chir isakji ijiptsür hagari abraham nem sotsüba jabaso den asaya-a angu,",NOT
"So she went to Abraham and told him, “You have to get rid of this slave woman and this son of hers! A slave woman's son is not going to be one of your heirs and inherit together with my son Isaac!”","lai abraham dang ashi, “iba alatsür aser lar jabaso yokadokang, kechiaser iba alarla jabaso kü chir isak den senmang maka.”",NOT
"But God told Abraham, “Don't feel bad about the boy and the slave woman. Do whatever Sarah tells you, because it's through Isaac that your descendants will be counted.","saka tsüngremi abraham dang ashi, “tanur aser ne kilitsür atema na shisa bulua tejashima, sarai ne dang kechisa shidir ajakji inyakang, kechiaser ni ne dang nangzükba ama isak dak ne metsüji ajatsü.",HOF
"She went and sat down some way off, a few hundred yards away, saying, “I can't bear to watch my son die!” As she sat down she burst into tears.","aser lai pa jakdang nungi süklep lir shi pila-a ao. kechiaser lai ashi, “ni tanur asüba dakji mereprangli.” aser lai pa jakdang mena alidang tanur jagi ola adoka ajeb.",OFF
"God told him, “Go with your son, your only son, the one you love, to the land of Moriah and sacrifice him there as a burnt offering on one of the mountains that I'll tell you about.”","tsüngremi ashi, “ne chir oda ne jabaso ka dang aliba, shiba nai kanga meimer, pa moria limai anir oang. yangji ni ne dang sayuba tenem nungji isak kü nem tarongba tenla asoshi agüjang.”",OFF
Abraham got up early in the morning and saddled up his donkey. He took two servants and Isaac with him and went to cut firewood for the burnt offering. Then he left with them to go to the place God had told him about.,"abrahami anepdang yakta shishir, gado nung tamentsü menden enoka pa den isak aser kilir ana anir, tarongba tenla asoshi süng sosar apusoa tsüngremi pa dang sayuba tenem jagi ao.",OFF
"Abraham had Isaac carry the wood for the burnt offering, while he carried the fire and the knife, and they walked up together.","abrahami tarongba tenla atema süngji pei chir isak nem bendaktsü, aser pai pa teka nung mi aser nok aben aser tena külemi ao.",OFF
"Isaac said to Abraham, “Father?”“Yes, my son?” Abraham replied.“Well, we have the fire and the wood, but where's the lamb for the burnt offering?” Isaac asked.","aser isaki tebu dang asüngdang, “oba!” pai langzü, “kü chir, ni yangi lir.” isaki asüngdang, “ajiang mi aser süngpong yangi lir, saka tarongba tenla asoshi sanbo kong ali?”",OFF
"“God will provide the lamb for the burnt offering, my son,” Abraham replied, and they went on walking up together.","abrahami langzü, “kü chir, tsüngremi pei sasa asenok nem agütsütsü.” aser tenaprongla külemi ao.",OFF
Abraham looked up and saw a ram caught by its horns in some bushes. He brought the ram over and sacrificed it as a burnt offering in place of his son.,abrahami reprang aser ajiang pa sülen san tepung ka tezü agi arem süngsem kongsang dak yitaker aliba angu. pai oa aji sala aser pei chir isak melena sanji tarongba tenla agütsü.,OFF
"“Listen, my lord, you are a highly-respected prince among us. Choose the very best of our burial sites to bury your dead. None of us will say no to you.”","“onok dang angang kibur, na onok rongnung tashi tait tamarener ka lir; onok leper tajungtiba nung ne kinungtsü tasü mang remang. ner tasüba meremdaktsütsüsa onoki pei leper na nungi sota mayutsü.”",NOT
"Abraham accepted Ephron's offer. Abraham weighed out and gave to Ephron the four hundred pieces of silver he'd mentioned, using the standard weights used by merchants, and with the Hittites acting as witnesses.",abrahami efroni ashiba ama taribi sen noklang pezü iba mapang shishirtemi amshiba ama züngzüka agütsü.,OFF
The man observed her in silence to see if the Lord had made his journey successful or not.,kibuba i pa aeni aoba ajak azükarudaktsü asü masü ta metettsü asoshi nisungba jagi mokorai la dak repranga ata.,NOT
"“Thank you Lord, the God of my master Abraham,” he prayed. “You have not forgotten your commitment and faithfulness to my master. And Lord, you have led me directly to the home of my master's relatives!”","pai ashi, “kü kibur abraham kibuba tsüngrem tenüng sangang, shibai kü kibur tsütsü pei takang temeim aser temulung lemtetba ayu. kibuba i nia kü kibur kinunger kidangi indang-indanga len ania aruogo.”",NOT
"He'd noticed the nose-ring and the bracelets she was wearing, and he'd heard his sister Rebekah explaining, “This is what the man told me.” When he arrived the man was still there, standing with his camels beside the spring.","kodang labani pei tenu rebeka ket nung kisen aser küriji angu, aser nisungba jagi item o kü dang ashi ta lai jembiba otemji pai angashi, paia nisungba dangi ao aser ajiang paji uttem den tzübu anasa noktaka liasü.",NOT
"Then Laban had food brought in.But the man told him, “I'm not going to eat until I've explained why I'm here.”“Please explain,” Laban replied.","kodang pa dangi chiyungtsü bener aru, pai ashi, “ni kü osang mashi tashi ni kecha machitsü.” labani ashi, “na kechi tashitsü aka shiangma.”",NOT
"My master made me swear an oath, saying, ‘You must not arrange for my son to marry any daughter of the Canaanite people in whose land I'm living.","aser kü kiburi kü dang azüngashidakja ashi, ‘nai kanan nungertem shirnok rongnung ni alir, parnok jalatem nungi kü jabaso asoshi kibutsü asütsü shinga tagidaktsü.",NOT
"But her brother and her mother said, “Let her stay with us for another ten days or so. She can leave after that.”","saka la tedi aser tetsüi langzü, “aiürlaji anogo ternü shi onok den lidakjang, ajiser lai aotsü akok.”",NOT
Abraham married another wife; her name was Keturah.,"abrahami tetsür tanga ka agi, la tenüng ketura liasü.",NOT
"There was a famine in the country—not the one that happened before in Abraham's time, but a later one. So Isaac moved to Gerar in the territory of Abimelech, king of the Philistines.",abraham tendak atalokba mezüng ayawara dak alema iba lima nung ano ayawara ka liasü. anungji isaki filistia nunger chuba abimelek dangi gerari ao.,NOT
"He had another well dug, and they argued over that one too. He named the well, “Opposition.”","ajiser parnoki ano tzübu tanga ka atu aser parnoki iba jagia raktep, anungji pai iba tzübu tenüngji sitna ta aja.",NOT
"So they moved on from there and he had another well dug. This time there was no argument so he named the well, “Freedom,” saying, “Now the Lord has given us freedom to expand and be successful in this land.”","yang nungjagi pila-a or pai ano tzübu tanga ka atu. saka ibaji anema shingaia pa den meraktep, anungji pai iba tzübu tenüng rehobot ta aja. pai ashi, “kechiaser tangbo kibuba i asen asoshi linük tasen ka agütsüogo, aser asenok linük nungji rena alitsü.”",NOT
“Why have you come to see me?” Isaac asked them. “Previously you hated me and told me to leave!”,"isaki parnok dang ashi, “nenoki ni sempa aser nenoki ni yokadok sürnung nenok kechiba kü dangi arur?”",HOF
"You'll promise not to harm us in the same way we've never hurt you. You'll agree that we've always treated you well, and when we asked you to leave we did so kindly. Now look at how the Lord is blessing you!”",oda onoki ne dang junga benshiba aser yimjung nung na yokba ama naia onok dak tamajung kecha meinyaktsü. kechiaser kibuba i na moatsüogo.”,NOT
"Now then, my son, listen to me and do exactly what I tell you.","anungji kü chir, ni ashiba o angang, aser ni kechisa shidir nai aji inyakangma.",NOT
Maybe my father will notice when he touches me. Then it will look like I'm deceiving him and I'll bring a curse down on myself instead of a blessing.”,"ashiko kübui kü dak meyimdangtsü südi, aser pa madang ni tekülakba ama akümtsü, aser pai kü dak temoatsü masü, atakatemang benloktsü.”",NOT
"“Come over here so I can touch you, my son,” Isaac told Jacob, “so I can tell if you're really my son Esau or not.”","isaki yakob dang ashi, “ni anasai arungjong, ni ne dak kongshia na atangji kü chir esauji asü masü-ar metettsü.”",NOT
"You will make a living by using your sword, and you will be your brother's servant. But when you rebel, you will throw off his yoke from your neck.”","na nok agi taküm alitsü,aser nai nenu tenzüktsü.saka kodang nai pei nüji tiaji ngudir,nai pa yongrak ajak ne tekong nungi pungtoktsütsü.”",OFF
"From then on Esau hated Jacob because of his father's blessing. Esau said to himself, “Soon the time will come when I'll mourn my father's death. Then I'll kill my brother Jacob!”","tang tebui yakob nem temoatsü ajak agüjadokba yong esaui yakob sempa-a pei sasa süngzüka temulung nung ashi, “kübu asoshi mangyimba anogotem tatonger, iba sülen ni künu yakob tepsettsü.”",HOF
"However, Rebekah found out what Esau was saying, so she sent for Jacob. “Look,” she told him, “your brother Esau is making himself feel better by making plans to kill you.","saka kodang rebeka dang lar chir tambusang esau o metetdaktsü, lai pei chir yakobji jar ashi, “nedi esaui na tepsettsü renema pa sasa süngzükdagi.",HOF
In the meantime Jacob had set off from Beersheba on his way to Haran.,yakobi beersheba nungi aenshia haran leni ao.,OFF
"“Look, there's still plenty of daylight left,” said Jacob. “It's too early to round up the sheep yet. Why not let them drink so they can go back to grazing?”","yakobi ashi, “ajiang ano anü talangka lir, aser santem anitentsü mapang ano matong; kechiba nenoki parnok nem tzüji jemdaktsür chimdaki anir maor?”",NOT
"One day Laban said to him, “You're my relative so you shouldn't be working for me for nothing! Tell me, what should I pay you?”","labani yakob dang ashi, “na kü kinunger asüyongkela angati dang nai ni tenzüktsü no? ne taa kechi asütsü kü dang shiang.”",NOT
"“Finish this week of wedding celebrations and then I'll give you the other daughter as well, as long as you work another seven years for me.”","tetsür aniokba abensa-ang, aser ni rachel ne nem agütsüdi, shiba asoshi nai ni ano küm tenet tenzüktsüla.”",NOT
"So Jacob slept with Rachel as well, and he loved Rachel more than Leah. He worked for Laban another seven years for Rachel.",anungji yakobi rachel den medem aser pai lea dang nungi la tali meim. aser pai ano laban küm tenet tenzük.,NOT
"When the Lord saw that Leah wasn't loved he helped Leah to have children, but not Rachel.","kodang yakobi lea dangbo rachel temeimba ta kibuba i angu, pai lea nu menden lapoktsü, saka rachelbo tapung liasü.",NOT
"Then Leah became pregnant again, and had another son. She said, “The Lord has heard that I'm not loved so he gave me this son.” So she named him Simeon.","la ano mashisa aküm aser tebur ka aso aser lai ashi, “ kibuba i kü nem iba jabaso agütsüogo, kechiaser kü dang sempaba pai angu.” anungji lai tanur tenüngji simeon aja.",NOT
"Leah became pregnant for the third time, and had another son. She said, “Finally my husband will be attached to me because now I've given him three sons.” That's why he was named Levi.","ano la mashisa aküm aser tebur ka aso. lai ashi, “tangbo kü kinungpui kü dak sakloktsü, kechiaser ni pa nem tebur asem sotsüogo.” anungji lai tanur tenüngji levi aja.",NOT
"Once again Leah became pregnant and had another son. She named him Judah, for she said, “Now I can really praise the Lord!” After that she had no more children.","aser ano la mashisa küma, tebur ka aso. lai ashi, “tangbo ni kibuba tenüng sangdi.” anungji lai tanur tenüngji yihuda aja. aser lai tanur asoba anenadok.",NOT
"When Jacob came in from the fields that evening, Leah went out to meet him. “You have to sleep with me because I've paid for you with my son's mandrakes,” she told him. So he slept with her that night.","nikongdang kodang yakob alu nungi adok, leai pa lenji oa ashi, “taonung nai kü dangi aittsüla, kechiaser ni ner chir meyong mandrake na asoshi ta-a agütsüogo.” aser paonungji pai la den mejang.",HOF
"Then Jacob cut some sticks from poplar, almond, and plane trees that had white wood under the bark. He peeled off some of the bark, making the sticks look streaked with white.","yakobi poplar dong, almond aser plam dong nungi süngsang agizüka süngkepji endoker süngsang nungji temesüng adokdakja temdangpusa yanglu.",OFF
Jacob also noticed that Laban was treating him differently to the way he had before.,yakobi laban tejak pa tsütsü mesüi ajitet.,NOT
"“I've noticed that your father is treating me differently to the way he did before,” he told them. “But the God of my father will be with me.","aser pai tena dang ashi, “nebui joko mezüng ama kü dak mesaklok ta ni ajiteter, saka kübu tsüngrem kü den lir.",NOT
"“There's nothing for us to inherit from our father's estate anyway,” Rachel and Leah replied.","rachel o lea nati langzü, “obalar kidang onok shilem mesüra senmang kecha melika,",NOT
"All the wealth that God has taken from him belongs to us and our children, so do whatever God has told you to do!”","obalar rongsen kechisa tsüngremi bener ao, aji asen meyong aser asen chirtem meyong lir. tsüngremi ne dang kechisa ashi aji inyakang.”",HOF
Jacob also deceived Laban the Aramean by not informing him that he was going to run away.,yakobi aram nunger teku labani memetetdaktsüi miima jena aotsü asatetba ajanga pai paji ashioktsü.,NOT
“Why did you deceive me like this?” Laban asked Jacob. “You carried off my daughters as if they were some prisoners captured by the sword!,"idangji labani yakob dang ashi, “kechiba ni ashioktsütsüsa nai ya inyaker? aser kü jalatem rara nung nok agi apuba ama kechiba bener aor?",OFF
"Why did you run away in secret, trying to trick me? Why didn't you come and tell me? I would have given you a good send-off, a celebration with singing and the music of tambourines and lyres.",kechiba kü dang meshi-i nai miima ajen aser ni ashioktsür? nai kü dang ashi asübo ni na tepela nung ken tena aser kongki tema odaktsülato!,OFF
"She said to her father, “Sir, please don't get upset with me for not standing up in your presence, but I have my period.” He looked everywhere but didn't find the idols.","racheli pei tebu dang ashi, “ni ne tsüngdang noktaktsü makok nung obalai tejashima, kechiaser ni tetsür ita shilem aoba mapang lir.” yamaji pai bushi saka kibong tsüngremtemji mangu.",NOT
"I've worked for you for these past twenty years. During that time none of your sheep and goats miscarried, and I haven't eaten a single ram from your flock.","item küm metsü tashi ni ne den liasü aser ne lu, ne san aser nabong mapang shitak nung techanu merepa mepu aser item rongnung ni san tepung ka danga machi.",NOT
"If it weren't for the God of my father, the God of Abraham, the awesome God of Isaac, who took care of me, you would have dismissed me with nothing. But God saw my suffering, how hard I worked, and he condemned you last night.”","kübu tsüngrem, oda abraham aser isak tsüngrem kü den mali asübo atangji nai ni teka tazüng yoker lila. saka tsüngremi ni inyakba aser ni timtemba ngua yasüng na artsüogo.”",NOT
"It was also called Mizpah, for as Laban said, “May the Lord keep a close eye on both of us when we're not together.","labani ashi, “ kibuba i ana senshia alidang nüka liangma.” anungji iba dang mizpa aja.",NOT
They also act as a witness to our solemn promises to each other: I will not come past them to attack you; and you will not come past them to attack me.,"iba lungnang aser tongshiji kuli sang, oda tamajung inyaktsü asoshi ni iba lung atena ne dangi marutsü, naia iba lungnang aser tongshi atena kü dangi marutsü.",NOT
Then he offered a sacrifice on the mountain and invited all his relatives to eat a meal there. They spent the night on the mountain.,pai tenem nungji tarongba tenla ka agütsü aser pei adianutem chiyungi aja. parnoki chiyunger külen aonung tepiyong tenem nungji ali.,OFF
"“Fine, but let me leave some of my men with you,” said Esau.“You're very kind, but there's no need to do that,” Jacob replied.","anungji esaui ashi, “süra kü den aliba nisungtem kar ni ne den toktsüdi.” saka yakobi langzü, “parnokji nüngdak mali, saka kü nem dang kü kibur madang taochi ngudakjangma.”",NOT
"Then Shechem himself spoke up, and said to Dinah's father and brothers, “Please accept me and my proposal, and I'll do whatever you ask.","idangji shekemia dina tebu aser tedi nunger dang ashi, “nenok nükdang ni yimlibilem ngudakjang, aser nenoki kechisa kü dang shidir aji ni agütsüdi.",HOF
